id,season,episode,scene,line_text,speaker,deleted
801,1,3,35,"Uh, Dwight? Did you raise benefits?",Michael,False
802,1,3,35,I most certainly did not.,Dwight,False
834,1,3,44,"Well, it could happen. Have you ever seen the movie Outbreak?",Jim,True
835,1,3,44,"Yeah. Well, have you ever seen the movie Unbreakable? 'Cause that guy couldn't get sick, just like me.",Dwight,True
838,1,3,45,You promise these are confidential?,Pam,True
839,1,3,45,100%.,Dwight,True
840,1,3,45,Did you just mark on that?,Pam,True
841,1,3,45,"I don't think so, no.",Dwight,True
877,1,3,47,No. Was that the hard way?,Jim,True
878,1,3,47,I know you did.,Dwight,True
879,1,3,47,"Well, then why are you wasting everybody else's time interrogating them?",Jim,True
880,1,3,47,"Well, because I want to know who wrote those diseases down.",Dwight,True
905,1,4,4,Why'd you do this?,Stanley,False
906,1,4,4,"I didn't do it. What do you mean? Oh, the water cooler was brought over here for... maintenance. So what do you guys hear? What's the scuttlebutt?",Dwight,False
935,1,4,8,"Mint chocolate chip! That'd be good, how about some, mint chocolate chip?",Michael,False
936,1,4,9,"Hey, so listen, I was thinking that it might be a good idea if you and I formed an alliance. 'Cause of the downsizing? I think an alliance might be a good idea, you know. Help each other out.",Dwight,False
942,1,4,11,To what?,Jim,False
943,1,4,11,The gun show. [Rolls up his sleeve and kisses his bicep],Dwight,False
957,1,4,15,Well I'm trying to. Do you see what I'm doing?,Jim,False
958,1,4,15,Mmm hmm.,Dwight,False
964,1,4,17,"Yeah, what do you think that's about?",Jim,False
965,1,4,17,Only one way to find out.,Dwight,False
1010,1,4,26,Yeah. What do you know about Meredith?,Michael,False
1011,1,4,26,I don't think she'd be missed.,Dwight,False
1016,1,4,26,[laughs] Which one is that again?,Michael,False
1017,1,4,26,That's where they remove the uterus.,Dwight,False
1018,1,4,26,"Oh God! Dwight, no. I'm trying to write something funny. What am I going to do with a removed uterus?",Michael,False
1019,1,4,26,It could be kind of funny.,Dwight,False
1025,1,4,27,What? What?,Jim,False
1026,1,4,27,I know. I know exactly what to do.,Dwight,False
1045,1,4,33,"So do you want me to stay here and, you know, stand next to the box?",Jim,False
1046,1,4,33,"No, you need to go upstairs to the party so people don't notice we're both gone.",Dwight,False
1130,1,4,47,[looking at Dwight] An alliance? What the hell is he talking about?,Roy,False
1131,1,4,47,I have absolutely no idea.,Dwight,False
1140,1,4,49,Is your password Frodo?,Jim,True
1141,1,4,49,No. [typing on keyboard],Dwight,True
1142,1,4,49,Did you just change it to Gollum?,Jim,True
1143,1,4,49,No. [typing on keyboard],Dwight,True
1173,1,4,51,"[looks in  the refrigerator] Hey Dwight, my tuna sandwich isn't in the refrigerator. You wouldn't know anything about that would you?",Jim,True
1174,1,4,51,It was rotting.,Dwight,True
1204,1,4,56,"Uh, yeah. What do you know about Meredith?",Michael,False
1205,1,4,56,I don't think she'd be missed.,Dwight,False
1210,1,4,56,Which one is that again?,Michael,False
1211,1,4,56,That's where they remove the uterus.,Dwight,False
1212,1,4,56,"Oh God! Dwight, no. I'm trying to write something funny here, okay. What am I going to do with a removed uterus?",Michael,False
1213,1,4,56,It could be kind of funny.,Dwight,False
1214,1,4,56,"[sighs] Come up with a joke that I can use, okay?",Michael,False
1215,1,4,56,Mmm-hmm.,Dwight,False
1220,1,4,56,What?,Michael,False
1221,1,4,56,From the downsizing.,Dwight,False
1250,1,4,60,What?,Ryan,True
1251,1,4,60,Well played.,Dwight,True
1494,1,5,38,What was that?,Michael,True
1495,1,5,38,What?,Dwight,True
1496,1,5,38,That look?,Michael,True
1497,1,5,38,What look?,Dwight,True
1548,1,5,47,Is that really necessary?,Angela,True
1549,1,5,47,[wearing a face guard] I've almost had my nose broken a dozen times.,Dwight,True
1631,1,6,7,So do you like the periwinkle and the purples?,Katy,False
1632,1,6,8,"The purse girl hits everything on my checklist. Creamy skin. Straight teeth. Curly hair. Amazing breasts. Not for me, for my children. The Schrutes produce very thirsty babies.",Dwight,False
1695,1,6,18,"Dwight, that's not necessarily true. Do you read GQ?",Jim,False
1696,1,6,18,No.,Dwight,False
1918,1,6,38,"You're really into reptiles, huh?",Katy,True
1919,1,6,38,My belt's made out of alligator. Check it out. [lifts shirt],Dwight,True
1923,1,6,38,"Well, don't do that. Where are your glasses?",Michael,True
1924,1,6,38,I....,Dwight,True
1925,1,6,38,He wears glasses. Did you know that?,Michael,True
1926,1,6,38,Not all the time.,Dwight,True
1964,1,6,43,Went well?,Jim,True
1965,1,6,43,I think it did.,Dwight,True
2087,2,1,19,You're taking away our bathroom?,Pam,False
2088,2,1,19,We are going to have two men's rooms.,Dwight,False
2089,2,1,19,But where would we...go?,Phyllis,False
2090,2,1,19,Be prepared to hold folks [Michael comes out of his office] From 9 am to...,Dwight,False
2280,2,1,65,What does that even mean? What are you... What are you talking about?,Michael,True
2281,2,1,65,It's the ladies' room.,Dwight,True
2317,2,1,70,What?,Michael,True
2318,2,1,70,That is not true.,Dwight,True
2332,2,1,73,[singing] You down with the Dundies?,Michael,False
2333,2,1,73,"Yeah, you know me.",Dwight,False
2334,2,1,73,[singing] You down with the Dundies?,Michael,False
2335,2,1,73,The Dundies!,Dwight,False
2338,2,1,73,[singing] You down with the Dundies?,Michael,False
2339,2,1,73,"Yeah, you know me.",Dwight,False
2528,2,2,21,No! No! Catherine. Remember her? Remember how hot she was?,Michael,False
2529,2,2,21,Yes.,Dwight,False
2785,2,3,9,"I don't know, regular. Normal ones. Nothing fancy. Not my style. What are you doing?",Michael,False
2786,2,3,9,[tries to open sun roof] I want to put the top down.,Dwight,False
2828,2,3,16,Are we ready to sign some papers?,Carol,False
2829,2,3,16,"Actually, no. We have a couple of questions, about the neighborhood.",Dwight,False
2845,2,3,18,"So that's the problem, is solved. What?",Michael,False
2846,2,3,18,Listen. [puts ear to wall] Can you hear that? Oh man. These babies are thin.,Dwight,False
2919,2,3,36,What the hell is a terrarium?,Michael,False
2920,2,3,36,It's a fish tank for snakes and lizards.,Dwight,False
2937,2,3,38,Why would we do that?,Michael,False
2938,2,3,38,Just for fun?,Dwight,False
2966,2,3,43,"Time to beat is one minute, 15 seconds. Here they come. [Michael and Dwight enter] Guys?",Jim,False
2967,2,3,43,What is going on?,Dwight,False
2968,2,3,43,Nothing. Guys? Timer's still going? Er?,Jim,False
2969,2,3,43,That's my stopwatch.,Dwight,False
3052,2,3,56,Are we ready?,Michael,True
3053,2,3,56,That's it.,Dwight,True
3061,2,3,57,"Oh, anything bad?",Michael,True
3062,2,3,57,"Two charges of loitering,",Dwight,True
3078,2,3,57,Who is Mr. Scott?,Man,True
3079,2,3,57,"Him. I have got a couple of questions about the neighborhood. Have you had any problems with prostitution, crack dealing, gang violence, etcetera?",Dwight,True
3102,2,3,62,What? [toilet flushing] What are you doing in there?,Michael,True
3103,2,3,62,Fill it full of cotton or soundproof insulation.,Dwight,True
3189,2,4,17,"Uh, okay, two?",Ryan,False
3190,2,4,17,NO!,Dwight,False
3191,2,4,17,"Okay... uh, sorry?",Ryan,False
3192,2,4,18,"Okay, he can have 14. Marjory's not here today.",Dwight,False
3263,2,4,31,Is it cheaper to sign a new customer? Or to keep an existing customer?,Ryan,False
3264,2,4,31,Keep an existing...,Dwight,False
3316,2,4,37,Who goes to business school?,Jim,False
3317,2,4,37,The temp.,Dwight,False
3318,2,4,37,He does?,Jim,False
3319,2,4,37,"Yeah, it's all him and Michael talk about anymore.",Dwight,False
3325,2,4,37,What?,Jim,False
3326,2,4,37,"I'm sorry I said that, I didn't... just part of me meant it. Besides, he'd end up being a hero anyway.",Dwight,False
3357,2,4,38,What's that?,Michael,False
3358,2,4,38,"If you had your cell phone, it would make you happy?",Dwight,False
3392,2,4,40,"Hey, did you miss that day there, Ryan?",Michael,False
3393,2,4,40,Were you absent?,Dwight,False
3394,2,4,40,Toaster Oven 101?,Michael,False
3395,2,4,40,You failed?,Dwight,False
3430,2,4,49,What?,Ryan,False
3431,2,4,49,Was it worth it? Was it worth it temp?,Dwight,False
3433,2,4,49,Was it worth it?,Kevin,False
3434,2,4,49,Really?,Dwight,False
3459,2,4,58,Good. What's up?,Ryan,True
3460,2,4,58,"Oh, nothing much. What's up with you?",Dwight,True
3463,2,4,58,"Uh, fine. What's up?",Ryan,True
3464,2,4,58,"You know what you would love? Guns N' Roses. When I was your age, I loved Guns N' Roses. Do you like Guns N' Roses? I'll make you a tape.",Dwight,True
3558,2,5,4,What are you? A monk?,Phyllis,False
3559,2,5,4,I am a Sith Lord. [looks at Jim] Oh big deal. Three round pieces of paper taped to a shirt. This cost me 129 dollars.,Dwight,False
3601,2,5,12,Who do you think it should be?,Michael,False
3602,2,5,12,Jim. Definitely.,Dwight,False
3609,2,5,14,"[turns to the fake head, listening] What? There was someone left off that list? Who?",Michael,False
3610,2,5,14,Who is he saying?,Dwight,False
3619,2,5,14,[listening to his head] What?,Michael,False
3620,2,5,14,"Tell him, not Dwight.",Dwight,False
3623,2,5,14,Are you kidding?,Michael,False
3624,2,5,14,"Quiet, you.",Dwight,False
3643,2,5,20,So. How did it go with Stanley? How... how'd he take it?,Michael,False
3644,2,5,20,He wouldn't listen to me,Dwight,False
3671,2,5,27,"Big deal. Oh, it would've worked out so well. Can you get it back?",Michael,False
3672,2,5,27,It's in Maryland.,Dwight,False
3673,2,5,27,You can call. Can you call 'em?,Michael,False
3674,2,5,27,I can't. I... I suppose I coul... no. They never really made me an offer anyway.,Dwight,False
3867,2,6,1,"Okay, calm down.  Where was the last place you saw it?",Jim,False
3868,2,6,1,"Okay, who moved my desk?",Dwight,False
3887,2,6,2,Was that your mom?,Jim,False
3888,2,6,2,"No, that was my Sensei.",Dwight,False
3935,2,6,10,"Hey, Dwight. As Sempai, do you think there is ever going to be a day where humans and robots can peacefully co-exist?",Jim,False
3936,2,6,10,Impossible. The way they're programmed... You're mocking me.,Dwight,False
3943,2,6,10,Please?,Jim,False
3944,2,6,10,Please?,Dwight,False
3948,2,6,11,Could you practice on the forms?,Pam,False
3949,2,6,12,"No women or children, unless provoked.",Dwight,False
3950,2,6,12,"Ok, Roy?",Jim,False
3951,2,6,12,Warehouse guy. Doesn't count.,Dwight,False
3976,2,6,16,You know a ton of fourteen year old girls?,Jim,False
3977,2,6,16,What belt are they?,Dwight,False
3982,2,6,16,"Oh, Bruce Willis. Are they going to leave him on the asteroid?",Michael,False
3983,2,6,16,"Ok, I'll punch you.",Dwight,False
4019,2,6,20,"No, Really?",Michael,False
4020,2,6,20,"In case you remember, I was defending my honor... like a samurai.",Dwight,False
4025,2,6,20,Really?,Michael,False
4026,2,6,20,Yeah.,Dwight,False
4053,2,6,24,"Ok, gentlemen, listen up. After a clean strike to the chest, stomach, or kidneys, I will separate you and award a point. The first person to three wins. Alright?",Ira,False
4054,2,6,24,"Yes, Sensei!",Dwight,False
4060,2,6,24,What the hell was that?,Michael,False
4061,2,6,24,Yes!,Dwight,False
4087,2,6,27,"[knock at the door] Yeah... uh, come in. Oh, hey Karate Kid. The Hillary Swank version. Hi. How are ya?",Michael,False
4088,2,6,27,I need to change my emergency contact information from Michael Scott.,Dwight,False
4089,2,6,27,"Ok, to what?",Ryan,False
4090,2,6,27,Just put 'The Hospital.' Contact number: just put 9-1-1. [Dwight leaves],Dwight,False
4104,2,6,30,"This close. Dwight, may I speak with you for a minute?",Michael,False
4105,2,6,30,I'm busy.,Dwight,False
4114,2,6,32,I have been testing you the entire day. Did you know that?,Michael,False
4115,2,6,32,Of course.,Dwight,False
4139,2,6,37,What about Oscar? Could you beat Oscar?,Jim,True
4140,2,6,37,No problem.,Dwight,True
4354,2,7,27,"Mr. Scarn, perhaps you would be more comfortable in my private jet?",Oscar,False
4355,2,7,27,"Yes, perhaps I would, Goldenface.  Sam, get my luggage.",Dwight,False
4506,2,8,1,"Ok, you know what, uh, how much is that?",Jim,False
4507,2,8,1,It's only twenty-five bucks.,Dwight,False
4540,2,8,7,"Wait, wait; one thing.  Uh, by tomorrow, you mean Saturday, right?",Jim,False
4541,2,8,7,"Uh, duh.",Dwight,False
4640,2,8,23,You didn't see it?,Pam,False
4641,2,8,23,"No, I went out and got drunk with my laser tag team last night.  Crap!  I never go out on a Thursday night; what the hell was I thinking?",Dwight,False
4658,2,8,25,"Oh, ok, well, yeah, who wrote it?",Michael,False
4659,2,8,25,Tom?,Dwight,False
4695,2,8,26,Where did you get your outfit?,Michael,False
4696,2,8,27,[loud metal music playing in a stairwell; Dwight pacing] You are giving me this raise!  I deserve this raise! [plays air guitar] Yes! [kicks] Yes! Yes! Hiya!  The least you can do is keep my salary consistent with inflation! Keeya eyah!  Yes!  Why are you gonna give me this raise?  Why?  Because... I'm awesome! I am awesome!,Dwight,False
4705,2,8,28,What do you want Dwight?,Michael,False
4706,2,8,28,I am ready for my performance review.,Dwight,False
4711,2,8,28,Why on earth would we give you a raise?,Michael,False
4712,2,8,28,"That is an excellent question. Thank you for asking.  Let me bring up one word: dedication. [points to graphs] I have never been late.  Also, I have never missed a day due to illness. [Michael sighs] Even when I had walking pneumonia.  I even come in on holidays.",Dwight,False
4713,2,8,28,You do?  How do you get in?,Michael,False
4714,2,8,28,I have a copy of your key.,Dwight,False
4719,2,8,28,"Ok, third wheel, why don't you do that?",Michael,False
4720,2,8,28,"For instance, the time I brought in deer jerky for the whole office.",Dwight,False
4731,2,8,29,"Look, I know it's your job, I know you have to ask, but I promise you, I'm not gonna discuss it with him, I'm certainly not gonna discuss it with you.  [digs a cigarette out of her purse] Do you have a light?",Jan,False
4732,2,8,30,"And in conclusion, I think that Lex Luthor said it best when he said 'Dad, you have no idea what I'm capable of'.",Dwight,False
4733,2,8,30,That's from Superman?,Michael,False
4734,2,8,30,"Smallville.  And that is why, I feel, that I deserve this raise.",Dwight,False
4781,2,8,39,Then why the question?,Jim,True
4782,2,8,39,"This is a visual aid for my performance review. Budget is tight, and if anyone is getting a raise, it is gonna be a fight to the death. And I intend on winning that fight. 'Dwight: determined, worker, intense, good worker, hard worker, terrific. Dwight.'",Dwight,True
4785,2,8,39,Really?,Jim,True
4786,2,8,39,Yeah.,Dwight,True
4787,2,8,39,You have a better idea?,Jim,True
4788,2,8,39,"Yeah, magnificent worker, marvelous worker, more money for this worker. Man, I like this worker. Mighty worker.  That's good. That's good.",Dwight,True
4818,2,8,43,"Let's just push on, shall we?",Michael,True
4819,2,8,43,Pushing on.,Dwight,True
4828,2,8,43,Which one?,Jim,True
4829,2,8,43,"Oh, no, no. It's on the Miata.",Dwight,True
4833,2,8,43,"Okay, field trip's over. Come on. Could we please get back to this?",Michael,True
4834,2,8,43,[clapping] Come on. Let's get back to this.,Dwight,True
4865,2,8,45,What nerves?,Ryan,True
4866,2,8,45,"For the performance review. Oh, wait, you don't get one. You're a temp.",Dwight,True
4869,2,8,45,Why would I lie about a performance review?,Ryan,True
4870,2,8,45,Why would Michael give you one before me?,Dwight,True
4958,2,9,11,"One is tall and brunette, and the other one is short, and blonde, and perky, and kinda judgmental.  Who do you think he should choose?",Pam,False
4959,2,9,11,Does he have access to their medical records?,Dwight,False
5054,2,9,21,"You, too, Dwight?",Michael,False
5055,2,9,21,"Have fun tonight!  Whatever it is that you're doing, and I'll see you Monday. [to the camera]  He has no idea!",Dwight,False
5318,2,10,1,"Well, suck it up. We all have problems. Hey, everybody, look what we have! [laughs] Nice, huh?",Michael,False
5319,2,10,1,I've got it leveraged. Push. Straight up.,Dwight,False
5342,2,10,9,Do we have one?,Kevin,False
5343,2,10,9,No.,Dwight,False
5405,2,10,22,"What? Oh, shoot. Wow. Okay, well, who cares? It doesn't matter what I spent. What matters is that Christmas is fun, right?",Michael,False
5406,2,10,22,Michael.,Dwight,False
5411,2,10,24,Should we just keep opening up the presents?,Kevin,False
5412,2,10,24,We don't do anything until Michael gives us further instructions.,Dwight,False
5429,2,10,26,And I have to give it to her? I don't have a choice?,Ryan,False
5430,2,10,26,"Yes, now you can steal the oven mitt, the old shirt or the shower radio or pick a new gift.",Dwight,False
5453,2,10,31,Who wants to take paintball lessons? How is that better than an iPod?,Michael,False
5454,2,10,31,I never said it was better than an iPod.,Dwight,False
5487,2,10,41,"I bought this teapot for Pam, and I know she really wants it. So, can I trade you for it?",Jim,False
5488,2,10,41,No trades.,Dwight,False
5491,2,10,41,"Look, it has sentimental value, Dwight. Can I buy it from you?",Jim,False
5492,2,10,41,No. I want it. I'm going to use it.,Dwight,False
5603,2,10,69,Are you kidding?,Pam,True
5604,2,10,69,"Do I look like I'm kidding? [Pam shakes her head 'no'] Phyllis, stag, I assume.",Dwight,True
5651,2,11,1,"What's up, buddy?",Jim,False
5652,2,11,1,This is not funny. Why is my stuff in here?,Dwight,False
5655,2,11,1,"Who, Steve?",Jim,False
5656,2,11,1,"Yeah, Steve, whatever his name is.",Dwight,False
6024,2,12,4,[panicked] No one wants to pick me up!?,Michael,False
6025,2,12,4,"[silence, Dwight enters the office] What is going on? What is going on?",Dwight,False
6065,2,12,7,What?,Michael,False
6066,2,12,7,Sorry.,Dwight,False
6072,2,12,7,What?  Part of your duties are to what?,Michael,False
6073,2,12,7,What?,Dwight,False
6076,2,12,7,"Yes, you did.  What is wrong with you?",Michael,False
6077,2,12,7,What is wrong with,Dwight,False
6090,2,12,9,You've seen one of these?,Pam,False
6091,2,12,9,"Yeah, they're like an i-Pod only they're better 'cause they're chunkier and more solid.",Dwight,False
6094,2,12,9,Really?,Pam,False
6095,2,12,9,"Yeah, I'll write down the address for you.  Only, the only thing is, is that all the songs are in Russian. ... Kidding!",Dwight,False
6110,2,12,11,Really?,Pam,False
6111,2,12,11,Yeah. Throw it.  I promise it won't break.  Chuck it. [Pam throws her mp3 player],Dwight,False
6119,2,12,14,"No, nope, no one is helping me out at all Mom.  No, I'm not gonna call Jan.  She'd just worry... drive down here and make a big thing... Who told you that?  No, it was mutual.  What is Pam doing chatting with you?",Michael,False
6120,2,12,15,Huh. Do you like candy?,Dwight,False
6251,2,12,27,I just want to say goodbye ok?,Pam,False
6252,2,12,27,"I'll be back, I mean...",Dwight,False
6274,2,12,31,"Dwight, what are you drinking?",Michael,False
6275,2,12,31,I found it under the seat.,Dwight,False
6321,2,12,33,Does the skin look red and swollen?,Doctor,False
6322,2,12,33,That's what she said.,Dwight,False
6361,2,12,41,What?,Michael,True
6362,2,12,41,"Constructing a home-made cast?  Genius.  Filled with foresight.  Like in the pioneer times, if you lost a leg, they would then use the bone of the leg for a cane.  They wasted nothing.",Dwight,True
6418,2,13,5,Dwight! Hey is it me or does this place smell like up-dog?,Michael,False
6419,2,13,5,What's up-dog?,Dwight,False
6420,2,13,5,"Gotcha! [laughing] Oh, God. [low] Crap! Nothin' how ya doing?",Michael,False
6421,2,13,5,Good. How are you doing?,Dwight,False
6431,2,13,7,Whhh... What are you guys doing?,Kevin,False
6432,2,13,8,Michael.,Dwight,False
6548,2,13,23,Umm. How many different ways are there to sniffle?,Pam,False
6549,2,13,23,Three.,Dwight,False
6632,2,13,38,Who's this?,Gil,False
6633,2,13,38,This is Dwight Schrute. Who is this?,Dwight,False
6635,2,13,38,Are you going to tell Michael?,Oscar,False
6636,2,13,38,How bout this. I don't tell Michael and in exchange you owe me one great big giant favor.  Redeemable by me at a time and place of my choosing.,Dwight,False
6675,2,13,46,Do you see it?,Michael,True
6676,2,13,46,"Oh, man, it's really back there.",Dwight,True
6677,2,13,46,Do you feel it?,Michael,True
6678,2,13,46,Yeah. I can barely...,Dwight,True
6797,2,14,20,You know who used to sit at that desk?,Michael,False
6798,2,14,20,That guy Miles who quit to form his own company?,Dwight,False
6866,2,14,36,"Oh, and I'm not?  Why would you say that? Because I'm having fun?  You guys just are workin' for the weekend, aren't you?  I'm workin' for the week.  Sales team, listen to me.  This is what we're gonna do.  I'm gonna up the ante a little bit literally.  Right here, I'm gonna put a crisp one hundred dollar bill.  The person with the most sales at the end of the day gets to keep the cash.  Sound good?",Michael,False
6867,2,14,36,Yeah!,Dwight,False
7010,2,14,64,What was that?,Michael,True
7011,2,14,64,What?,Dwight,True
7012,2,14,64,"You call that a sales call? My God, what have they been teaching you?",Michael,True
7013,2,14,64,"You're the one who trained me, Michael.",Dwight,True
7014,2,14,64,"Yeah, well, did I teach you to roll over like a submissive dog?",Michael,True
7015,2,14,64,You most certainly did not.,Dwight,True
7020,2,14,64,Do you know a joke?,Michael,True
7021,2,14,64,My cousin Mose told me a joke.,Dwight,True
7078,2,15,6,[in the background] So one obstacle is how assertiveness is perceived differently in men and women. Men who are assertive will be admired. They're called... anyone?,Jan,False
7079,2,15,7,It's a terrible idea.,Dwight,False
7080,2,15,7,What is?,Jim,False
7081,2,15,7,Them in there all together. If they stay in there too long they're going to get on the same cycle. Wreak havoc on our plumbing.,Dwight,False
7137,2,15,19,Guys! Want to start unloading the truck?,Michael,False
7138,2,15,20,Okay. Let's go. Step up.,Dwight,False
7151,2,15,24,How about rainbows?,Ryan,False
7152,2,15,24,No.,Dwight,False
7207,2,15,33,"No, you don't. You don't feel us. How can you? You know what?",Darryl,False
7208,2,15,33,Not literally.,Dwight,False
7349,2,15,54,Really?,Roy,True
7350,2,15,54,"Yeah. Shoot a chuck of potato at your face, 80 PSI, bon appetit!",Dwight,True
7376,2,16,5,"I probably will, why do you ask?",Michael,False
7377,2,16,5,"Well... It's Valentine's Day, and you guys, you know...",Dwight,False
7448,2,16,24,Tightly wound?,Pam,False
7449,2,16,24,(smirking) Exactly.,Dwight,False
7593,2,16,55,Animalian?,Jim,True
7594,2,16,55,Yes.,Dwight,True
7595,2,16,55,Why?,Jim,True
7596,2,16,55,None of your business. I'm writing something.,Dwight,True
7597,2,16,55,You're writing something?,Jim,True
7598,2,16,55,Forget it. I'll look it up myself.,Dwight,True
7626,2,17,1,You all right Ryan?,Michael,False
7627,2,17,1,Ryan.,Dwight,False
7646,2,17,6,Grapes. Seductive. So you ready for the big speech this afternoon?,Michael,False
7647,2,17,6,"Well, it's not really a big speech. You still coming right?",Dwight,False
7668,2,17,15,"[stand up comic voice] But seriously, what's the difference between a salesman and a saleswoman?",Michael,False
7669,2,17,15,Saleswoman has a vagina.,Dwight,False
7687,2,17,18,Do we know anyone who was in the accident?,Pam,False
7688,2,17,18,Brad Pitt. Also there will be no bonuses.,Dwight,False
7689,2,17,18,Why would this affect our bonuses?,Stanley,False
7690,2,17,18,They are unrelated.,Dwight,False
7691,2,17,18,Is Brad okay?,Kelly,False
7692,2,17,18,"He will never act again. Also, this branch is closing.",Dwight,False
7694,2,17,18,Are we out of jobs?,Angela,False
7695,2,17,18,Yes.,Dwight,False
7734,2,17,24,Dwight. If you could travel anywhere in the world where would you go?,Jim,False
7735,2,17,24,I can travel anywhere except Cuba. And I will travel to New Zealand. And walk the 'Lord of the Rings' trail to Mordor. And then I will hike Mount Doom. So... no... just leave me alone.,Dwight,False
7763,2,17,32,"Dwight, how we doing?",Speaker,False
7764,2,17,32,"No, I can't... I ca...",Dwight,False
7809,2,17,41,I got thirsty. How'd it go?,Michael,False
7810,2,17,41,It was amazing. I wish you would have been there.,Dwight,False
7818,2,17,42,"Dwight gave a great speech. That's the word on the street anyway. And I entertained Dwight to no end with my bar stories. So, I captivated the guy who captivated a thousand guys. Can you believe that? A thousand guys?",Michael,False
